,0,1,2,3,4
0,5,0,0,0,0
1,10,0,0,0,0
2,15,0,0,0,0
3,20,0,0,0,0
4,25,0,0,0,0
5,30,0,0,0,0
6,35,0,0,0,0
7,40,0,0,0,0
8,45,0,0,0,0
9,50,0,0,0,0
10,55,0,0,0,0
11,60,0,0,0,0
12,65,0,0,0,0
13,70,0,0,0,0
14,75,0,0,0,0
15,80,0,0,0,0
16,85,0,0,0,0
17,90,0,0,0,0
18,95,0,0,0,0
19,100,0,0,0,0
20,105,0,0,0,0
21,110,0,0,0,0
22,115,0,0,0,0
23,120,0,0,0,0
24,125,0,0,0,0
25,130,0,0,0,0
26,135,0,0,0,0
27,140,0,0,0,0
28,145,0,0,0,0
29,150,0,0,0,0
30,155,0,0,0,0
31,160,0,0,0,0
32,165,0,0,0,0
33,170,0,0,0,0
34,175,0,0,0,0
35,180,0,0,0,0
36,185,0,0,0,0
37,190,0,0,0,0
38,195,0,0,0,0
39,200,0,0,0,0
40,205,0,0,0,0
41,210,0,0,0,0
42,215,0,0,0,0
43,220,0,0,0,0
44,225,0,0,0,0
45,230,0,0,0,0
46,235,0,0,0,0
47,240,0,0,0,0
48,245,0,0,0,0
49,250,0,0,0,0
50,255,0,0,0,0
51,260,0,0,0,0
52,265,0,0,0,0
53,270,0,0,0,0
54,275,0,0,0,0
55,280,0,0,0,0
56,285,0,0,0,0
57,290,0,0,0,0
58,295,0,0,0,0
59,300,0,0,0,0
60,305,0,0,0,0
61,310,0,0,0,0
62,315,0,0,0,0
63,320,0,0,0,0
64,325,0,0,0,0
65,330,0,0,0,0
66,335,0,0,0,0
67,340,0,0,0,0
68,345,0,0,0,0
69,350,0,0,0,0
70,355,0,0,0,0
71,360,0,0,0,0
72,365,0,0,0,0
73,370,0,0,0,0
74,375,0,0,0,0
75,380,0,0,0,0
76,385,0,0,0,0
77,390,0,0,0,0
78,395,0,0,0,0
79,400,0,0,0,0
80,405,0,0,0,0
81,410,0,0,0,0
82,415,0,0,0,0
83,420,0,0,0,0
84,425,0,0,0,0
85,430,0,0,0,0
86,435,0,0,0,0
87,440,0,0,0,0
88,445,0,0,0,0
89,450,0,0,0,0
90,455,0,0,0,0
91,460,0,0,0,0
92,465,0,0,0,0
93,470,0,0,0,0
94,475,0,0,0,0
95,480,0,0,0,0
96,485,0,0,0,0
97,490,0,0,0,0
98,495,0,0,0,0
99,500,0,0,0,0
100,505,0,0,0,0
101,510,0,0,0,0
102,515,0,0,0,0
103,520,0,0,0,0
104,525,0,0,0,0
105,530,0,0,0,0
106,535,0,0,0,0
107,540,0,0,0,0
108,545,0,0,0,0
109,550,0,0,0,0
110,555,0,0,0,0
111,560,0,0,0,0
112,565,0,0,0,0
113,570,0,0,0,0
114,575,0,0,0,0
115,580,0,0,0,0
116,585,0,0,0,0
117,590,0,0,0,0
118,595,0,0,0,0
119,600,0,0,0,0
120,605,0,0,0,0
121,610,0,0,0,0
122,615,0,0,0,0
123,620,0,0,0,0
124,625,0,0,0,0
125,630,0,0,0,0
126,635,0,0,0,0
127,640,0,0,0,0
128,645,0,0,0,0
129,650,0,0,0,0
130,655,0,0,0,0
131,660,0,0,0,0
132,665,0,0,0,0
133,670,0,0,0,0
134,675,0,0,0,0
135,680,0,0,0,0
136,685,0,0,0,0
137,690,0,0,0,0
138,695,0,0,0,0
139,700,0,0,0,0
140,705,0,0,0,0
141,710,0,0,0,0
142,715,0,0,0,0
143,720,0,0,0,0
144,725,0,0,0,0
145,730,0,0,0,0
146,735,0,0,0,0
147,740,0,0,0,0
148,745,0,0,0,0
149,750,0,0,0,0
